Date,Bike.Count,Registered.Users,Casual.Users,Total.Dist,Total.Duration,Year,Month,Day,Temp_High,Temp_Avg,Temp_Low,Dew_High,Dew_Avg,Dew_Low,Hum_High,Hum_Avg,Hum_Low,Pres_High,Pres_Avg,Pres_Low,Vis_High,Vis_Avg,Vis_Low,Wind_Avg,Rain_Inches,Rain,Fog,Snow,Thunderstorm,Weekday,Is.Weekend,Is.Holiday
2017-02-17,7282,6467,815,14124720.146874428,5767732358,2017,Feb,17,51,40,28,29,20,15,64,48,31,29.99,29.94,29.88,10,10,10,4,0,0,0,0,0,Friday,FALSE,0
2017-02-18,10726,5195,5531,21653500.312818516,20221358031,2017,Feb,18,68,51,33,38,32,28,82,57,31,29.93,29.84,29.75,10,10,10,7,0,0,0,0,0,Saturday,TRUE,0
2017-02-19,12350,5301,7049,25258514.747599382,25385573376,2017,Feb,19,71,60,49,47,43,37,86,60,33,30.06,29.91,29.79,10,10,10,9,0.01,1,0,0,0,Sunday,TRUE,0
2017-02-20,10058,5920,4138,20139753.15198901,15759501792,2017,Feb,20,68,56,43,44,37,29,92,58,24,30.32,30.2,30.07,10,10,10,7,0,0,0,0,0,Monday,FALSE,1
2017-02-21,8815,7576,1239,18131026.80461158,7784993379,2017,Feb,21,58,50,41,39,31,22,71,53,35,30.37,30.26,30.12,10,10,10,7,0,0,0,0,0,Tuesday,FALSE,0
2017-02-22,9659,8432,1227,20119925.82567055,8758658537,2017,Feb,22,63,55,46,52,45,39,93,78,62,30.11,29.99,29.91,10,10,10,7,0,1,0,0,0,Wednesday,FALSE,0
2017-02-23,11744,9655,2089,24799818.403396234,12316425625,2017,Feb,23,75,64,53,55,53,52,100,75,49,29.91,29.88,29.81,10,10,10,10,0,0,0,0,0,Thursday,FALSE,0
2017-02-24,12959,9594,3365,26948875.213913437,16050939355,2017,Feb,24,77,66,54,59,55,52,100,73,46,29.94,29.87,29.79,10,10,10,11,0,0,0,0,0,Friday,FALSE,0
2017-02-25,8174,5218,2956,16388932.27595799,11211220638,2017,Feb,25,75,60,44,60,50,22,93,66,38,29.86,29.63,29.43,10,9,2,15,0.18,1,0,0,1,Saturday,TRUE,0
2017-02-26,6339,4421,1918,12187769.97478456,7648900736,2017,Feb,26,50,43,35,26,19,16,48,39,29,30.33,30.13,29.9,10,10,10,11,0,0,0,0,0,Sunday,TRUE,0
2017-02-27,8264,7327,937,17659424.118050788,6685200667,2017,Feb,27,55,46,36,37,31,23,85,57,29,30.45,30.39,30.33,10,10,10,6,0,0,0,0,0,Monday,FALSE,0
2017-02-28,7828,6879,949,16511280.17599384,6684962236,2017,Feb,28,68,58,47,57,46,34,100,75,50,30.36,30.21,30.02,10,9,6,5,0.34,1,0,0,0,Tuesday,FALSE,0
2017-03-01,8977,8112,865,18757700.864223037,7310599508,2017,March,1,80,68,56,62,57,51,100,75,50,29.99,29.73,29.59,10,8,2,17,0.02,1,0,0,0,Wednesday,FALSE,0
2017-03-02,8134,7438,696,16525022.689425467,5878025374,2017,March,2,63,52,40,55,24,17,78,54,29,30.23,29.97,29.62,10,10,10,18,0.01,1,0,0,0,Thursday,FALSE,0
2017-03-03,6741,6100,641,12975631.356169263,4648636086,2017,March,3,44,38,31,29,19,6,82,52,22,30.56,30.36,30.21,10,10,6,15,0,0,0,1,0,Friday,FALSE,0
2017-03-04,5283,3980,1303,10126306.800365517,5558463228,2017,March,4,44,35,26,13,9,6,55,39,22,30.63,30.59,30.53,10,10,10,12,0,0,0,0,0,Saturday,TRUE,0
2017-03-05,4999,3706,1293,9231012.685399234,5230326274,2017,March,5,40,32,23,12,2,-4,42,30,17,30.76,30.65,30.54,10,10,10,8,0,0,0,0,0,Sunday,TRUE,0
2017-03-06,8583,7321,1262,17797393.42834142,7667673269,2017,March,6,54,44,33,39,28,11,69,54,38,30.54,30.46,30.35,10,10,10,6,0,0,0,0,0,Monday,FALSE,0
2017-03-07,8383,7194,1189,17121348.393080678,7420966883,2017,March,7,71,59,47,55,47,39,93,70,47,30.33,30.2,30.01,10,10,10,10,0.07,1,0,0,0,Tuesday,FALSE,0
2017-03-08,10971,8878,2093,22123327.07042866,10847011326,2017,March,8,68,59,50,53,29,14,80,48,15,30.16,30.07,29.95,10,10,10,13,0.01,1,0,0,0,Wednesday,FALSE,0
2017-03-09,12406,9781,2625,25513140.796050366,13044377248,2017,March,9,74,61,47,36,24,18,40,27,13,30.15,30.04,29.88,10,10,10,9,0,0,0,0,0,Thursday,FALSE,0
2017-03-10,5998,5434,564,12130487.982523372,4533375960,2017,March,10,57,44,31,37,26,10,65,50,35,30.18,29.94,29.83,10,9,4,16,0.09,1,0,1,0,Friday,FALSE,0
2017-03-11,5116,3925,1191,9637110.314045344,5689871887,2017,March,11,40,33,26,13,8,3,50,36,22,30.36,30.28,30.19,10,10,10,15,0,0,0,0,0,Saturday,TRUE,0
